check,result,detail
signals_not_empty,PASS,85
required_columns_present,PASS,[]
grain_unique,PASS,0 duplicates
record_hash_unique,PASS,
scores_in_0_100,PASS,0 out of range
composite_not_null,PASS,
weights_sum_100,PASS,100.0
no_inf_values,PASS,0
no_empty_keys,PASS,
four_families_per_signal,PASS,{4: 85}
confidence_valid,PASS,
status_valid,PASS,
forecast_key_raw_present,PASS,
forecast_key_is_canonical,PASS,
severity_only_on_events,PASS,
performance_mode_valid,PASS,
not_computable_has_null_score,PASS,
eligibility_status_valid,PASS,
