source,run,signal_rows,event_rows,aggregate_record_hash,matches_previous
live,1,168,71,3590574acccbcfd94c051314e5ddeeddf4baaeea15bf5fa9ada87317df0710a9,True
live,2,168,71,3590574acccbcfd94c051314e5ddeeddf4baaeea15bf5fa9ada87317df0710a9,True
synthetic,1,85,12,0171612003c64b89ecf5dceb8f0e6fc66dcdb35782abac87180bc7bc49802344,True
synthetic,2,85,12,0171612003c64b89ecf5dceb8f0e6fc66dcdb35782abac87180bc7bc49802344,True
synthetic,3,85,12,0171612003c64b89ecf5dceb8f0e6fc66dcdb35782abac87180bc7bc49802344,True
